UserId,days,edit_count
"9143011","-3","5"
"9143011","-4","4"
"9143011","-1","36"
"9143011","1","7"
"9143011","-2","10"
"9143011","0","30"
"8840085","-6","3"
"8840085","-1","24"
"8840085","-2","28"
"8840085","2","3"
"8840085","-5","4"
"8840085","0","56"
"8840085","48","3"
"8840085","15","2"
"8840085","1","2"
"8830634","-46","3"
"8830634","-22","4"
"8830634","-19","1"
"8830634","-11","5"
"8830634","-3","2"
"8830634","-55","4"
"8830634","-42","9"
"8830634","-21","5"
"8830634","-13","2"
"8830634","-7","5"
"8830634","-5","14"
"8830634","0","9"
"8830634","7","1"
"8830634","-54","10"
"8830634","-48","12"
"8830634","-41","5"
"8830634","-12","3"
"8830634","-6","10"
"8830634","-4","17"
"8830634","-1","18"
"8830634","3","4"
"8830634","9","6"
"8830634","-2","17"
"8830634","2","4"
"8830634","-28","3"
"8830634","-23","1"
"8830634","-15","5"
"8830634","-8","14"
"8830634","8","3"
"8830634","-40","3"
"8830634","-25","9"
"8830634","-20","5"
"8830634","-14","5"
"8794221","-31","14"
"8794221","-24","6"
"8794221","-8","5"
"8794221","-3","9"
"8794221","-2","14"
"8794221","4","2"
"8794221","13","18"
"8794221","-38","7"
"8794221","-36","14"
"8794221","-7","2"
"8794221","-4","14"
"8794221","-1","25"
"8794221","3","6"
"8794221","-25","7"
"8794221","-22","3"
"8794221","-14","12"
"8794221","14","9"
"8794221","19","3"
"8794221","-37","10"
"8794221","-32","13"
"8794221","-23","9"
"8794221","-21","15"
"8794221","7","9"
"8794221","10","12"
"8794221","12","5"
"8794221","18","6"
"8794221","20","8"
"8794221","21","13"
"8794221","-28","14"
"8794221","-11","6"
"8794221","-9","5"
"8794221","0","26"
"8794221","6","12"
"8794221","11","5"
"8794221","17","2"
"8794221","-39","3"
"8758014","-15","6"
"8758014","15","6"
"8758014","-6","3"
"8758014","-4","5"
"8758014","11","7"
"8758014","24","11"
"8758014","27","1"
"8758014","-13","15"
"8758014","-2","5"
"8758014","0","1"
"8758014","10","17"
"8758014","13","12"
"8758014","23","13"
"8758014","-3","10"
"8758014","12","7"
"8758014","16","6"
"8758014","19","1"
"8758014","-12","7"
"8758014","-11","11"
"8758014","-1","11"
"8758014","1","7"
"8758014","3","28"
"8758014","4","6"
"8758014","2","17"
"8718143","-16","5"
"8718143","-9","7"
"8718143","-42","1"
"8718143","-23","5"
"8718143","-20","2"
"8718143","-15","3"
"8718143","-12","5"
"8718143","-7","1"
"8718143","-29","1"
"8718143","-26","1"
"8718143","-5","8"
"8718143","-2","19"
"8718143","0","12"
"8718143","-43","1"
"8718143","-14","3"
"8718143","-6","12"
"8718143","-1","17"
"8718143","1","9"
"8718143","-36","2"
"8718143","-21","1"
"8718143","2","3"
"8718143","-11","2"
"8718143","-8","10"
"8712097","-21","1"
"8712097","-12","3"
"8712097","-10","2"
"8712097","-7","6"
"8712097","2","4"
"8712097","8","5"
"8712097","10","5"
"8712097","32","4"
"8712097","52","3"
"8712097","-9","2"
"8712097","-3","11"
"8712097","-1","19"
"8712097","11","3"
"8712097","17","4"
"8712097","19","4"
"8712097","25","1"
"8712097","30","10"
"8712097","35","30"
"8712097","46","3"
"8712097","49","4"
"8712097","-36","7"
"8712097","-20","8"
"8712097","-18","9"
"8712097","-15","8"
"8712097","-13","35"
"8712097","0","24"
"8712097","5","2"
"8712097","7","4"
"8712097","16","3"
"8712097","21","2"
"8712097","29","5"
"8712097","39","15"
"8712097","42","28"
"8712097","47","2"
"8712097","50","8"
"8712097","-35","4"
"8712097","-19","10"
"8712097","-14","15"
"8712097","-8","5"
"8712097","3","2"
"8712097","6","6"
"8712097","12","2"
"8712097","20","2"
"8712097","27","5"
"8712097","38","22"
"8712097","40","23"
"8712097","51","2"
"8712097","-32","1"
"8712097","-22","2"
"8712097","-17","8"
"8712097","-16","3"
"8712097","-11","9"
"8712097","-6","6"
"8712097","-4","11"
"8712097","1","9"
"8712097","4","5"
"8712097","9","13"
"8712097","14","4"
"8712097","22","5"
"8712097","28","3"
"8712097","33","20"
"8712097","36","29"
"8712097","41","18"
"8712097","43","17"
"8712097","48","3"
"8712097","-5","9"
"8712097","-2","12"
"8712097","13","4"
"8712097","15","3"
"8712097","18","3"
"8712097","23","1"
"8712097","24","4"
"8712097","26","5"
"8712097","31","9"
"8712097","34","24"
"8712097","37","29"
"8712097","44","5"
"8712097","45","6"
"8710265","-50","1"
"8710265","-37","10"
"8710265","-29","2"
"8710265","-16","2"
"8710265","-8","6"
"8710265","-3","8"
"8710265","2","2"
"8710265","9","3"
"8710265","23","5"
"8710265","26","5"
"8710265","-49","2"
"8710265","-17","5"
"8710265","-15","3"
"8710265","8","6"
"8710265","21","4"
"8710265","24","6"
"8710265","-36","6"
"8710265","-23","11"
"8710265","-22","7"
"8710265","-14","5"
"8710265","-9","6"
"8710265","-7","3"
"8710265","0","6"
"8710265","5","10"
"8710265","11","8"
"8710265","13","7"
"8710265","27","3"
"8710265","35","1"
"8710265","-48","2"
"8710265","-21","2"
"8710265","-18","3"
"8710265","-13","4"
"8710265","15","10"
"8710265","-38","1"
"8710265","-20","1"
"8710265","-6","3"
"8710265","-4","10"
"8710265","-2","3"
"8710265","-1","4"
"8710265","6","5"
"8710265","14","12"
"8710265","16","6"
"8710265","19","6"
"8710265","22","1"
"8710265","29","3"
"8710265","30","1"
"8710265","-34","3"
"8710265","-24","11"
"8710265","-19","1"
"8710265","-5","1"
"8710265","1","5"
"8710265","7","8"
"8710265","10","9"
"8710265","12","9"
"8710265","20","3"
"8710265","25","1"
"8709791","-85","11"
"8709791","-80","10"
"8709791","-69","1"
"8709791","-44","8"
"8709791","-36","4"
"8709791","-34","10"
"8709791","-15","37"
"8709791","-7","5"
"8709791","-84","5"
"8709791","-81","13"
"8709791","-79","1"
"8709791","-73","5"
"8709791","-53","7"
"8709791","-22","8"
"8709791","-17","1"
"8709791","-16","12"
"8709791","-14","1"
"8709791","-8","10"
"8709791","-3","3"
"8709791","1","10"
"8709791","-86","9"
"8709791","-78","3"
"8709791","-49","10"
"8709791","-37","4"
"8709791","-31","10"
"8709791","-28","11"
"8709791","-26","1"
"8709791","-18","5"
"8709791","-10","6"
"8709791","-4","8"
"8709791","-2","8"
"8709791","0","50"
"8709791","2","2"
"8709791","3","4"
"8709791","-87","1"
"8709791","-82","19"
"8709791","-74","5"
"8709791","-51","2"
"8709791","-48","2"
"8709791","-46","5"
"8709791","-38","2"
"8709791","-27","4"
"8709791","-6","6"
"8709791","-71","2"
"8709791","-32","6"
"8709791","-19","6"
"8709791","-11","14"
"8709791","-9","29"
"8709791","-1","3"
"8709791","-83","12"
"8709791","-66","4"
"8709791","-65","2"
"8709791","-39","10"
"8709791","-23","7"
"8709791","-13","27"
"8709791","-12","9"
"8646529","-12","2"
"8646529","-9","10"
"8646529","1","1"
"8646529","35","14"
"8646529","48","7"
"8646529","56","9"
"8646529","72","4"
"8646529","77","8"
"8646529","-7","3"
"8646529","0","9"
"8646529","7","2"
"8646529","42","12"
"8646529","65","11"
"8646529","68","3"
"8646529","71","1"
"8646529","-15","1"
"8646529","2","3"
"8646529","23","4"
"8646529","37","2"
"8646529","44","6"
"8646529","47","8"
"8646529","55","15"
"8646529","57","5"
"8646529","58","2"
"8646529","63","8"
"8646529","-19","2"
"8646529","-14","13"
"8646529","-1","4"
"8646529","22","1"
"8646529","40","12"
"8646529","62","6"
"8646529","70","9"
"8646529","-16","8"
"8646529","-13","2"
"8646529","-8","9"
"8646529","-5","13"
"8646529","-2","10"
"8646529","5","10"
"8646529","12","9"
"8646529","20","1"
"8646529","34","1"
"8646529","-20","7"
"8646529","-6","12"
"8646529","16","1"
"8646529","41","6"
"8646529","43","2"
"8646529","54","8"
"8646529","61","3"
"8646529","64","8"
"8646529","78","8"
"8620333","-30","4"
"8620333","-19","20"
"8620333","-11","4"
"8620333","-1","5"
"8620333","1","5"
"8620333","3","3"
"8620333","9","3"
"8620333","12","22"
"8620333","17","25"
"8620333","25","17"
"8620333","33","16"
"8620333","35","7"
"8620333","36","10"
"8620333","41","25"
"8620333","43","15"
"8620333","51","7"
"8620333","64","33"
"8620333","70","15"
"8620333","72","32"
"8620333","-31","3"
"8620333","-18","13"
"8620333","-13","15"
"8620333","-12","15"
"8620333","-5","8"
"8620333","0","4"
"8620333","2","9"
"8620333","16","25"
"8620333","23","15"
"8620333","37","19"
"8620333","39","10"
"8620333","47","20"
"8620333","52","16"
"8620333","53","11"
"8620333","55","28"
"8620333","58","25"
"8620333","61","21"
"8620333","63","23"
"8620333","-27","16"
"8620333","-25","11"
"8620333","-24","9"
"8620333","-22","17"
"8620333","-17","7"
"8620333","-14","9"
"8620333","-9","10"
"8620333","-4","1"
"8620333","11","3"
"8620333","14","15"
"8620333","19","20"
"8620333","22","9"
"8620333","28","19"
"8620333","40","17"
"8620333","46","22"
"8620333","49","30"
"8620333","56","29"
"8620333","57","23"
"8620333","65","30"
"8620333","73","28"
"8620333","-29","10"
"8620333","-26","30"
"8620333","-21","16"
"8620333","-10","8"
"8620333","7","4"
"8620333","10","8"
"8620333","15","13"
"8620333","18","36"
"8620333","24","6"
"8620333","26","20"
"8620333","29","19"
"8620333","32","23"
"8620333","60","19"
"8620333","-28","22"
"8620333","-23","18"
"8620333","-20","9"
"8620333","-15","16"
"8620333","-8","5"
"8620333","-7","9"
"8620333","-2","10"
"8620333","5","2"
"8620333","8","12"
"8620333","13","22"
"8620333","21","10"
"8620333","31","16"
"8620333","34","6"
"8620333","42","17"
"8620333","44","1"
"8620333","45","15"
"8620333","50","27"
"8620333","66","12"
"8620333","68","20"
"8620333","69","17"
"8620333","71","7"
"8620333","74","24"
"8620333","-16","17"
"8620333","-6","10"
"8620333","6","13"
"8620333","20","14"
"8620333","27","13"
"8620333","30","5"
"8620333","38","26"
"8620333","48","21"
"8620333","54","17"
"8620333","59","15"
"8620333","62","22"
"8620333","67","35"
"8620333","75","24"
"8607591","-94","2"
"8607591","-73","2"
"8607591","-40","2"
"8607591","-16","4"
"8607591","-3","6"
"8607591","4","2"
"8607591","6","6"
"8607591","-98","5"
"8607591","-60","3"
"8607591","-57","6"
"8607591","-10","1"
"8607591","-2","7"
"8607591","-31","1"
"8607591","-15","1"
"8607591","-4","5"
"8607591","-56","6"
"8607591","-51","2"
"8607591","-46","3"
"8607591","-37","3"
"8607591","-35","6"
"8607591","-24","4"
"8607591","-62","5"
"8607591","-44","11"
"8607591","-41","5"
"8607591","-36","1"
"8607591","-34","2"
"8607591","-26","1"
"8607591","-9","7"
"8607591","0","3"
"8607591","5","6"
"8607591","-99","4"
"8607591","-92","1"
"8607591","-87","1"
"8607591","-86","2"
"8607591","-64","2"
"8607591","-43","12"
"8607591","-30","4"
"8607591","-29","2"
"8607591","-21","6"
"8607591","-14","2"
"8607591","-11","5"
"8607591","-8","6"
"8601760","-56","3"
"8601760","-53","1"
"8601760","-45","4"
"8601760","-42","2"
"8601760","-37","12"
"8601760","-32","18"
"8601760","-31","16"
"8601760","-26","8"
"8601760","-18","6"
"8601760","-13","7"
"8601760","-11","26"
"8601760","4","63"
"8601760","5","23"
"8601760","7","18"
"8601760","15","29"
"8601760","20","19"
"8601760","23","3"
"8601760","-54","3"
"8601760","-44","5"
"8601760","-35","10"
"8601760","-33","6"
"8601760","-25","1"
"8601760","-12","15"
"8601760","-9","4"
"8601760","-6","2"
"8601760","-4","8"
"8601760","8","38"
"8601760","14","14"
"8601760","17","17"
"8601760","30","1"
"8601760","37","8"
"8601760","38","2"
"8601760","43","3"
"8601760","-50","1"
"8601760","-48","1"
"8601760","-39","7"
"8601760","-34","14"
"8601760","-29","5"
"8601760","-23","2"
"8601760","-10","14"
"8601760","-5","1"
"8601760","12","16"
"8601760","31","1"
"8601760","34","5"
"8601760","36","10"
"8601760","44","5"
"8601760","-49","2"
"8601760","-46","3"
