Id,PostTypeId,CreationDate,Score,OwnerUserId,ParentId,tags
"1107066","2","2009-07-10 00:08:15","1","135978","1107021","<html>"
"1107124","2","2009-07-10 00:27:40","0","135978","1107106","<regex>"
"1120416","2","2009-07-13 16:07:54","6","135978","1120375","<asp.net><html><css>"
"1134164","2","2009-07-15 21:19:43","2","135978","1134143","<javascript><html><css>"
"1195073","2","2009-07-28 15:57:22","0","135978","1194663","<php><html>"
"1209908","2","2009-07-30 23:16:24","0","135978","1209790","<php>"
"1241227","2","2009-08-06 20:29:25","4","135978","1241152","<regex>"
"1269113","2","2009-08-12 22:38:25","4","135978","1269042","<javascript>"
"1307621","2","2009-08-20 17:16:03","0","135978","1307572","<jquery><google-maps><thickbox>"
"1313012","2","2009-08-21 16:42:59","2","135978","1313000","<python><mysql>"
"1331134","2","2009-08-25 21:32:13","5","135978","1331106","<user-interface>"
"1400751","2","2009-09-09 16:37:50","2","135978","1400332","<php><jquery><html>"
"1406771","2","2009-09-10 17:55:57","2","135978","1406733","<jquery><attributes><element>"
"1427919","2","2009-09-15 15:34:32","1","135978","1427735","<.net><regex><comments>"
"1444526","2","2009-09-18 13:24:32","8","135978","1444469","<javascript><jquery><droppable>"
"1456152","2","2009-09-21 18:48:16","2","135978","1408357","<performance><browser><firebug>"
"1445432","2","2009-09-18 15:53:45","88","135978","1445385","<php><mod-rewrite><codeigniter><url-rewriting>"
"1452985","2","2009-09-21 05:15:35","0","135978","1452976","<jquery>"
"1478322","2","2009-09-25 16:36:02","250","135978","1478295","<jquery>"
"1478487","2","2009-09-25 17:05:38","0","135978","1478420","<regex><validation>"
"1493132","2","2009-09-29 15:02:38","0","135978","1492295","<jquery><html><css>"
"1506754","2","2009-10-01 22:01:16","0","135978","1506729","<javascript><jquery>"
"1527736","2","2009-10-06 19:55:16","17","135978","1527719","<php><migration><installation><php-ini><short-open-tags>"
"1538787","2","2009-10-08 16:04:55","1","135978","1538764","<jquery><ajax><post><redirect>"
"1539125","2","2009-10-08 16:55:52","23","135978","1539121","<sql><mysql>"
"1563586","2","2009-10-13 23:54:29","1","135978","1563479","<javascript><dom><google-maps><maps>"
"1580862","2","2009-10-16 23:14:59","3","135978","1580814","<jquery><keyboard-shortcuts>"
"1631299","2","2009-10-27 14:43:57","0","135978","1631243","<jquery><css>"
"1633807","2","2009-10-27 21:32:32","3","135978","1633773","<javascript><jquery><html><css><overlay>"
"1635207","2","2009-10-28 04:30:20","1","135978","1635186","<http>"
"1659161","2","2009-11-02 02:23:54","0","135978","1659137","<javascript><css><xhtml>"
"1685263","2","2009-11-06 03:36:26","27","135978","1685221","<python><time><profiling><timeit>"
"1688368","2","2009-11-06 15:36:50","5","135978","1688337","<javascript><ternary-operator><conditional-operator>"
"1690536","2","2009-11-06 21:20:49","1","135978","1690361","<c#><data-structures><document>"
"1711018","2","2009-11-10 20:37:19","2","135978","1710886","<php><xhtml><facebook><iframe><html>"
"1724168","2","2009-11-12 17:56:58","4","135978","1724105","<javascript><jquery><ajax><animation>"
"1742500","2","2009-11-16 14:27:55","11","135978","1742486","<php><arrays><foreach>"
"1742829","2","2009-11-16 15:17:06","3","135978","1742812","<php><arrays>"
"1745157","2","2009-11-16 22:06:43","2","135978","1744738","<javascript><ajax><canvas>"
"1750546","2","2009-11-17 17:43:39","1","135978","1749538","<regex><text><plugins><text-editor>"
"1751242","2","2009-11-17 19:39:19","6","135978","1751225","<javascript><operators><assignment-operator>"
"1765276","2","2009-11-19 17:59:47","6","135978","1765265","<php>"
"1791826","2","2009-11-24 17:59:11","1","135978","1791796","<jquery><css><jquery-selectors>"
"1798460","2","2009-11-25 17:14:31","0","135978","1798100","<css><href><typography>"
"1798938","2","2009-11-25 18:18:12","0","135978","1798909","<javascript><jquery><forms><syntax>"
"1844422","2","2009-12-04 01:56:32","0","135978","1844370","<jquery><ajax><json><callback><wait>"
"2014320","2","2010-01-06 16:14:34","2","135978","1967742","<php><facebook>"
"1987999","2","2010-01-01 06:01:45","1","135978","1987990","<jquery><html>"
"2000251","2","2010-01-04 15:38:34","3","135978","2000202","<python><string><split>"
"2001716","2","2010-01-04 19:47:09","1","135978","2001624","<jquery><css><xhtml>"
"2014789","2","2010-01-06 17:18:30","2","135978","2014767","<python><list><tuples>"
"2021729","2","2010-01-07 16:10:23","129","135978","2021624","<php><string><sanitization>"
"2050245","2","2010-01-12 15:56:39","1","135978","2048287","<php><jquery><ajax><codeigniter><post>"
"2052657","2","2010-01-12 21:45:02","1","135978","2052335","<javascript><html><web-applications>"
"2061034","2","2010-01-13 23:13:43","3","135978","2059602","<jquery><cufon>"
"2061240","2","2010-01-13 23:56:16","2","135978","2061080","<jquery>"
"2062164","2","2010-01-14 04:30:36","1","135978","2062134","<html><css><background-image><menubar>"
"2096776","2","2010-01-19 20:20:08","5","135978","2096574","<function><codeigniter><submit>"
"2097511","2","2010-01-19 22:06:48","2","135978","2097475","<python><sql><sql-like><python-db-api>"
"2112537","2","2010-01-21 20:17:07","0","135978","2112462","<jquery><html>"
"2136849","2","2010-01-26 00:42:10","3","135978","2136774","<php><html>"
"2142768","2","2010-01-26 21:26:21","1","135978","2142738","<jquery><png><transparent><shadow>"
"2142905","2","2010-01-26 21:49:46","2","135978","2142882","<css>"
"2143503","2","2010-01-26 23:28:58","1","135978","2143465","<sql><mysql><database><join><multidimensional-array>"
"2144670","2","2010-01-27 04:55:56","2","135978","2144393","<php><arrays><mysql>"
"2147754","2","2010-01-27 14:48:25","2","135978","2147731","<jquery>"
"2147974","2","2010-01-27 15:13:33","0","135978","2147934","<html><css><image><textbox>"
"2149609","2","2010-01-27 19:08:44","2","135978","2149321","<php><codeigniter>"
"2149683","2","2010-01-27 19:25:28","3","135978","2149672","<language-agnostic><screen-scraping>"
"4060720","2","2010-10-30 21:17:20","5","492405","4060684","<c#><idisposable><using-statement>"
"4060735","2","2010-10-30 21:21:51","3","492405","4060716","<c#><.net><installer>"
"4060793","2","2010-10-30 21:39:19","33","492405","4060772","<sqlite3>"
"4060816","2","2010-10-30 21:46:25","2","492405","4060805","<c#><asp.net><asp.net-mvc>"
"4060831","2","2010-10-30 21:50:20","2","492405","4060815","<c#><generics>"
"4060897","2","2010-10-30 22:07:55","0","492405","4060884","<visual-studio-2010><visual-c++><c-preprocessor><underline>"
"4061455","2","2010-10-31 01:29:22","13","492405","4061447","<c#><.net><ubuntu><mono>"
