UserId,days,edit_count
"9317830","-23","14"
"9317830","-20","25"
"9317830","-9","14"
"9317830","-7","9"
"9317830","-6","15"
"9317830","0","22"
"9317830","37","1"
"9317830","42","1"
"9317830","64","1"
"9317830","-32","6"
"9317830","-26","23"
"9317830","-24","26"
"9317830","-13","19"
"9317830","-10","36"
"9317830","-5","34"
"9317830","-3","23"
"9317830","36","1"
"9317830","41","2"
"9317830","-30","20"
"9317830","-25","9"
"9317830","-15","5"
"9317830","-14","16"
"9317830","-1","16"
"9317830","3","6"
"9317830","43","12"
"9317830","50","1"
"9317830","58","1"
"9317830","-29","14"
"9317830","-27","13"
"9317830","-11","14"
"9317830","15","2"
"9317830","-31","31"
"9317830","-28","7"
"9317830","-12","5"
"9317830","-4","34"
"9317830","-2","16"
"9317830","38","1"
"9317830","45","2"
"9317830","48","3"
"9317830","-21","5"
"9317830","-19","14"
"9317830","-8","3"
"9317830","1","4"
"9297144","-47","7"
"9297144","-44","5"
"9297144","-41","3"
"9297144","-39","1"
"9297144","-31","4"
"9297144","-25","3"
"9297144","-23","5"
"9297144","-22","5"
"9297144","-17","8"
"9297144","-14","23"
"9297144","-10","38"
"9297144","-4","2"
"9297144","-2","7"
"9297144","-1","93"
"9297144","5","2"
"9297144","32","8"
"9297144","53","7"
"9297144","56","2"
"9297144","58","7"
"9297144","59","1"
"9297144","-48","3"
"9297144","-45","7"
"9297144","-43","3"
"9297144","-34","4"
"9297144","-26","5"
"9297144","-16","6"
"9297144","-11","10"
"9297144","-6","8"
"9297144","15","4"
"9297144","25","2"
"9297144","36","5"
"9297144","41","1"
"9297144","47","6"
"9297144","54","5"
"9297144","57","11"
"9297144","-49","1"
"9297144","-38","2"
"9297144","-33","4"
"9297144","-28","4"
"9297144","-7","27"
"9297144","19","2"
"9297144","22","3"
"9297144","40","2"
"9297144","42","3"
"9297144","-42","5"
"9297144","-40","4"
"9297144","-37","2"
"9297144","-21","2"
"9297144","-13","19"
"9297144","-8","30"
"9297144","2","1"
"9297144","4","1"
"9297144","9","2"
"9297144","28","1"
"9297144","34","1"
"9297144","39","1"
"9297144","46","6"
"9297144","49","1"
"9297144","52","4"
"9297144","-46","9"
"9297144","-36","2"
"9297144","-30","4"
"9297144","-20","8"
"9297144","-15","6"
"9297144","-12","24"
"9297144","-9","25"
"9297144","0","107"
"9297144","6","1"
"9297144","13","2"
