UserId,days,edit_count
"9143011","4","77"
"8840085","6","106"
"8830634","55","118"
"8794221","51","177"
"8758014","18","206"
"8718143","77","109"
"8712097","36","576"
"8710265","51","195"
"8709791","87","347"
"8646529","20","236"
"8620333","31","889"
"8607591","99","113"
"8601760","62","559"
"8574934","96","227"
"8572813","106","128"
"8554766","73","305"
"8538799","75","136"
"8517948","34","381"
"8500110","63","272"
"8487106","59","94"
"8469065","9","83"
"8465774","126","174"
"8465023","30","371"
"8459787","73","339"
"8449629","28","267"
"8448886","18","116"
"8437099","45","401"
"8422953","135","854"
"8415670","85","199"
"8412784","77","187"
"8405835","122","125"
"8388820","53","174"
"8371915","133","295"
"8363738","61","110"
"8360167","50","131"
"8354709","112","183"
"8339141","36","215"
"8338128","88","151"
"8332700","50","228"
"8317956","22","329"
"8291949","135","426"
"8283469","128","146"
"8281515","115","99"
"8276474","129","143"
"8270791","109","197"
"8257847","23","80"
"8255744","85","220"
"8254699","41","334"
"8242698","77","635"
"8242605","139","180"
"8220378","100","96"
"8201619","190","79"
"8200937","108","492"
"8176563","28","134"
"8171406","68","126"
"8165986","55","235"
"8164333","74","609"
"8162315","133","80"
"8150685","59","157"
"8119498","36","103"
"8113391","43","76"
"8112541","164","475"
"8108679","86","456"
"8089770","204","157"
"8088208","97","122"
"8080581","51","132"
"8069271","43","117"
"8065504","171","192"
"8060120","87","715"
"8051589","65","791"
"8048497","106","426"
"8046353","44","668"
"8041461","165","155"
"8040185","182","133"
"8040117","126","133"
"8036670","180","223"
"8036564","46","92"
"8035568","196","74"
"8035473","208","136"
"8024354","195","220"
"8012646","183","339"
"8009433","146","161"
"7998591","148","453"
"7976758","60","418"
"7954504","141","626"
"7953189","103","167"
"7950896","17","468"
"7949120","26","118"
"7943564","150","695"
"7938769","125","102"
"7925166","226","284"
"7920473","85","1723"
"7915557","108","249"
"7905714","206","155"
"7902625","203","257"
"7901720","217","204"
"7893951","141","290"
"7890164","205","224"
"7883986","64","368"
"7879193","101","681"
"7874047","256","85"
"7862821","238","135"
"7848065","130","365"
"7844349","161","160"
"7825115","132","226"
"7818749","238","332"
"7818013","71","172"
"7814526","181","139"
"7808133","67","143"
"7802200","41","436"
"7785027","168","118"
"7762393","180","127"
"7758301","251","161"
"7750640","8","1310"
"7745240","273","326"
"7733418","162","390"
"7725621","116","510"
"7699452","273","119"
"7694740","184","572"
"7688996","134","291"
"7688650","20","153"
"7677308","163","143"
"7676310","135","132"
"7670262","124","312"
"7669809","158","668"
"7668911","11","811"
"7666972","212","228"
"7666442","149","1698"
"7664524","289","127"
"7662085","114","475"
"7644018","210","223"
"7641442","252","138"
"7640269","103","205"
"7629714","239","284"
"7621674","63","825"
"7616442","299","156"
"7615334","178","130"
"7607190","245","694"
"7603109","286","97"
"7582130","160","87"
"7579547","138","596"
"7579471","49","693"
"7578825","94","92"
"7576100","251","242"
"7572026","85","112"
"7571526","284","206"
"7571182","189","193"
"7563191","108","158"
"7557361","232","169"
"7553525","163","400"
"7550472","280","356"
"7542765","287","91"
"7529405","29","158"
"7508077","280","155"
"7506896","254","104"
"7505395","328","338"
"7505321","89","212"
"7494974","233","89"
